Interview ID,Date Time,Can I take a few pictures of your house?,In what language would you prefer to run the interview?,ID,"What training have you received, if any, from the municipality or other organisations active in the community?",Which skills would you like to develop further and why?,"Describe how you can contribute towards the improvement of your settlement? (e.g., what skills)",What is your main way to receive information?,What is your main way to communicate with others?,Are you part of the community leadership?,"List any self-organisation initiatives for the improvement of this settlement that you have been part of? (e.g. group savings, farming, cleaning campaign, self-building, etc.)","What community organisation and/or social activity group you are part of? (e.g. church, stokvel, NGO, NPO, Community based organisation, etc.)",What is your average monthly household income?,Where is your home?,Who would you define as the head of your household?,Number of people living in the same household?,How has your economic situation changed since you moved here?,Why did you move to this settlement?,What best describes your accommodation status?,What country do you come from?,What is the highest level of education have you completed?,What year did you move to the settelment?,Where do you come from?,What is your current occupation?,You chose other - What is your occupation?,How do you sustain yourself?,What is the employment status of the participant?,Did you build this house yourself?,Who built your house?,What are the 3 main building materials used to build your house?,What other materials did you use for building your house?,Please describe any self-maintenance or improvements you have made to your house?,What would you change about your house and why?,What would you like to change/worries you the most about living in this settlement and why?,Describe what you like most/makes you most happy about living in this settlement and why?,Boots,Tools,Cooking Utensils,Drainage Issues,Roof,Enterance,Materials Of Construction,Sanitation,Windows,Veg Garden,Cooling Methods,Washing Utensils,Decoration,Heating Methods,How do you dispose of your garbage?,What would you change about garbage disposal and why?,Do you grow your own vegetables?,(If yes) is it for your family or for sale?,Why don't you grow your own vegetables?,What modes of transport are you using to move around?,What other risks or hazards affect you and/or your community?,Have you ever experienced flooding in your home? ,How many times do you experience flooding in your home every year?,In which months have you experienced floods in your home?,Please describe how you were affected by the flooding?,Who would you contact in case of a flood?,Please describe what you would do (actions you take) in case of a flood.,Have you experienced fire in your home?,(If yes) describe how are you were affected by fire?,Who would you contact incase of a fire?,Please describe what you would do (actions you take) in case of fire.,Which of the following items do you own personally?,Item 4 - Audio,Item 5 - Audio,What are the three biggest problems in your life?,Item 3 - Audio 2,Which items do you have currently have access to in your daily life?,"Which 5 items are most important to you in your daily life? Please indicate these in order of importance, starting with the most important",Are you satified with the water available to you (supply or quality)?,If other: What do you use water for?,(If no) why are you not satisfied with your water?,What do you use the water for?,What type of toilet do you use?,Where do you get your water from?
634560745f6f6926542f36b6,2022-10-11T12:24:20,,en,180314760,,,,Word of mouth,Word of mouth,,,,,,Mother,4.0,,,,,Secondary,,,,,,Unemployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634560745f6f6926542f36b8,2022-10-11T12:24:20,,zu,181854231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634560745f6f6926542f36ba,2022-10-11T12:24:20,Yes,en,186106792,,Soccer,Construction,Social events,Mobile phone,No,,,3500,"-29.5597276,30.4093604",Other,1.0,Improved a bit,"I like it because this place is close to many things and I can save some money as I work, and I don't pay any money when I go to work because I just walk.",fully owned,,Secondary,2020-01-01,Eastern Cape,Other,Construction,,Wage employee,No,Cherity,"Corrugated iron sheets,Plywood,other (specify)",Nails,"Added planks on the wall,added soil on the ground and added congrete on top of the soil",Nothing,"The thing that I would like to change in this place is to make it clean and safe, because we are not safe when cars pass by on the road and we get scared thinking about something that happened in the past","What makes me happy is that the children are able to go to school, we like to see young children succeed in the long run unlike us. We must encourage them to go to school and be respectful",https://files.ruralsenses.com/kobo-attachments/987582/186106792/1662033334447.jpg,https://files.ruralsenses.com/kobo-attachments/987582/186106792/1662033267604.jpg,https://files.ruralsenses.com/kobo-attachments/987582/186106792/1662033303598.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/186106792/1662033184360.jpg,https://files.ruralsenses.com/kobo-attachments/987582/186106792/1662033162182.jpg,https://files.ruralsenses.com/kobo-attachments/987582/186106792/1662033214372.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/186106792/1662033366177.jpg,,,https://files.ruralsenses.com/kobo-attachments/987582/186106792/1662033280986.jpg,https://files.ruralsenses.com/kobo-attachments/987582/186106792/1662033351025.jpg,,Put it in one place and burn it,,No,,No space,minibus taxi,Health hazards and drugs,No,,,,"Municipal officers,Family,Friends,NGO",Don't know,Yes,"the incident of the fire was very painful because everything I had was destroyed, we didn't even have a place to sleep, which was very painful, my girlfriend also burned down and died, I lost my girlfriend that way.","Firefighter,Police",Call fire fighters,"Corrugated Iron Sheet,Fan,House,Light Bulb,Meat","The toilet is very important because we cook and eat, if you want a toilet, don't worry about where you will go. if you want to relief yourself it is very helpful and important. it is difficult to live without a toilet.","the phone is important because we are away from our families, we can receive calls and we use the phone for other things. We use the phone for trying to get work. The phone is the fastest way for  communication.","We don't work, we don't have toilets, the place we live in is not in good condition, it is not maintained, and it is dirty, papers are flying everywhere.",The material you can use to make a house so that you can hide in the that shelter so material is important to us.,"House,Soap,Light Bulb,Road,Corrugated Iron Sheet,Vegetables,Mobile Phone,Doctor","Toilet flush,Vegetables,Water Pump,Corrugated Iron Sheet,Mobile Phone",Yes,Hygienic reasons,,"drinking,cooking,washing,other (specify)",Communal pit latrine,Community tap
634560755f6f6926542f36da,2022-10-11T12:24:21,Yes,en,188552861,,,,TV,TV,No,,Lns,1000,"-29.5594604,30.4092765",Father,4.0,Improved a bit,,fully owned,,Secondary,2015-01-01,KwaZulu-Natal,Shop owner,,,Wage employee,No,Friends,"Plywood,plastic,timber",,,,,,,,,,,,,,,,,,,,No,,No,,No water,minibus taxi,,No,,,,Neighbour,,Yes,,Neighbour,,,,,,,,,Yes,,,"drinking,cooking,washing",Communal pit latrine,Community tap
634560755f6f6926542f36dc,2022-10-11T12:24:21,Yes,zu,181852412,,Farming can make people living and sell it to others,Farming,Radio,Radio,No,For planting,,<500,"-29.5609854,30.4099345",Husband,2.0,Improved a bit,"I came here because there are no job opportunities in our area. I get piece jobs here, is not the same, its livable",fully owned,,Secondary,2006-01-01,KwaZulu-Natal,,,I get the part-time job/ piece jobs,Unemployed,Yes,,"Corrugated iron sheets,Bricks,timber",,There is none,Changing the corrugated iron and the wall as it is not in a good condition,"I can change it to be clean, create job opportunities, create farming and do recycling.","What makes me happy is that it is close to everything. if you want to go to buy something there are many shops, it is easy to find piece jobs because there are no jobs at home. The thing I don't like about this place it is the dirt.",https://files.ruralsenses.com/kobo-attachments/987582/181852412/1662032333675.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/181852412/1662032323228.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/181852412/1662032237535.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181852412/1662032189586.jpg,,,https://files.ruralsenses.com/kobo-attachments/987582/181852412/1662032367065.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181852412/1662032222942.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/181852412/1662032311636.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181852412/1662032351152.jpg,,We put it in the dug hole and burn it,We can put it on the road and picked by the waste municipality car,Yes,For family,,Walking,There is none,Yes,1.0,April,"the water was coming from the roof and the floor and there were leaks in the house, which hurt us a lot. the clothes we were sleeping in were wet, and the clothes we were wearing were wet and the food was wasted.",Neighbour,There are still neighbors we help each other,Yes,I ran away from the place where there had been a fire and I came back after it was over,Neighbour,There are no People I trust like my neighbors,"Water,House,Crops,Fire","the chicken lays eggs for me, it is a food, I have done some ritual thing with it and made compost for planting","Electricity is important because we cook with it, we light it with it, we iron with it, we play the radio with it, we watch the news on TV, the computer and we charge the cell phones.","not being able to find a proper job, having a child and not being able to support my child and having a house that is not right",The toilet helps me to relief myself and throw away the child nappies so that the place doesn't get dirty,"River,Toilet flush,Vegetables,Light Bulb,Mobile Phone,Soap","Borehole,Fire,Light Bulb,Toilet Squat,Chicken",No,,It is far from us,"drinking,cooking,washing",Communal pit latrine,Community tap
634560755f6f6926542f3701,2022-10-11T12:24:21,Yes,en,186107560,,Cleaning so we can have a clean place,Cleaning campain,Mobile phone,Mobile phone,No,,,1000,"-29.5598712,30.4092731",Mother,1.0,Improved a bit,"things are available nearby such as shops, doctor, hospital, clinics, you can walk if you are looking for work",fully owned,,Secondary,2004-01-01,KwaZulu-Natal,Other,House keeping,,Wage employee,No,Sponsers,"Corrugated iron sheets,Bricks,Plywood",,,Nothing,"I can change the toilets to be clean so that everyone can use it. I can change that we don't release ourselves anywhere (not defecate anywhere), find other taps so that we don't have to wait for each other.","What makes me happy is that everything is close, jobs are close, shops are close, the hospital is close, and you can find a job while staying at home.",,,https://files.ruralsenses.com/kobo-attachments/987582/186107560/1662657586245.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/186107560/1662657550960.jpg,https://files.ruralsenses.com/kobo-attachments/987582/186107560/1662657536531.jpg,,,https://files.ruralsenses.com/kobo-attachments/987582/186107560/1662657632049.jpg,,,https://files.ruralsenses.com/kobo-attachments/987582/186107560/1662657573384.jpg,https://files.ruralsenses.com/kobo-attachments/987582/186107560/1662657601485.jpg,https://files.ruralsenses.com/kobo-attachments/987582/186107560/1662657613913.jpg,Burn my garbage,Municipality if the can collect it once a week and it will make a big change in the settlement,No,,The is no time because of work,minibus taxi,,Yes,2.0,"April,December","The floods ruined my stuff i had, the food and clothes all got wet like ID books and I dried up","Friends,NGO,Neighbour",Seek for help,Yes,"The fire burned everything I had, clothes and bedding, cooking utensils like pots. I manage to take out some important things like an ID book, but most of them were burned. I took the suitcase which has only important things.","Friends,Family,NGO,Firefighter",Move away from the scene,"Meat,Fridge,House,Soap,Fire",The phone is important because I can communicate with my family. I can keep in touch with friends and the phone makes it easy to send an emergency message without getting in a taxi.,"The fridge is very important because summer is starting, it keeps the food fresh so you can eat it anytime, and it makes the food not rotten.","getting a good job, getting money, getting a better place to live. if I can get money to meet my needs that would be fine. This place is not right because it is not clean, and we don't have toilets and garbage is dumped anywhere","The shower is important because I bath in it, it makes me bath well, unlike when you bath in a wash basin. it cleanses the body so that I don't have the bad smell and it has a lot of water, it's not the same as if you bath in a basin.","Meat,House,Doctor,Borehole,Shower,Mobile Phone","House,Doctor,Fridge,Mobile Phone,Shower",Yes,,,"drinking,cooking,washing",Communal pit latrine,Community tap
634560765f6f6926542f3725,2022-10-11T12:24:22,No,en,186106979,,Soccer,Building,Social events,Word of mouth,No,,,1500,"-29.559906,30.4092551",Other,3.0,Became worst,,fully owned,,Secondary,2019-01-01,KwaZulu-Natal,,,Hustling,Unemployed,No,Cherity,"Bricks,Corrugated iron sheets,other (specify)",Nails,,Nothing,,,,,,,,,,,,,,,,,Put it in a plastic and place it at the side of the road for the municipality to collect it,Nothing,No,,Not a fan of gardening,minibus taxi,Crime and drugs,Yes,3.0,"March,November,October",,"Family,Friends,Municipal officers",Drain water out of the house,Yes,,"Friends,Family,Municipal officers,Police,NGO,Firefighter,Neighbour",Call fire fighters to take care of the fire,"Mobile Phone,House,Vegetables",,,,,"Light Bulb,Water,Corrugated Iron Sheet,Meat,Toilet flush,Road","House,Meat,Toilet flush,Fire,Fridge",Yes,Hygienic purposes,,"drinking,cooking,washing,other (specify)",Communal pit latrine,Community tap
634560765f6f6926542f3727,2022-10-11T12:24:22,Yes,zu,183370138,none,Studying to become a businessperson,I would suggest that we open a garden for fruits/vegetables,TV,Mobile phone,No,Cleaning around,Stokvel (saving as a group),1000,"-29.5600705,30.4093962",Son,4.0,Improved a bit,"I move in the informal settlement because of jobs. at home it is too far where we will look for the job. in this area is easy to go around and looking for the job, that is the reason I came here to look for the job and support my family. I can look after my sons and to look after myself.",fully owned,,Secondary,2019-01-01,KwaZulu-Natal,Shop owner,,,Self employed,No,We received a support/ donation after the houses has been burnt down.,"Corrugated iron sheets,timber,other (specify)",Nails,There is nothing,Extending it so that it is enough for all of us with brothers.,"I can change the houses we live in; others cannot sleep at night if it rains because of the leaks, they keep waking up looking for drops. I can change the houses from being shacks, I can also open garden areas. the place where we dispose of waste has also changed. I changed with these guys who smoke drugs and steal and make Indians hate us. I can also change the tap water because it dies often, it would be better if there were three taps water in our community.","what I like about this place is the shops are close by, you can go out and cross the road to buy a cold drink, you can buy bread nearby, you can go to shoprite. Another thing I like about this place is the Indians come to give us cooked food and clothes. firms are near to this place.",,,https://files.ruralsenses.com/kobo-attachments/987582/183370138/1662649686187.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/183370138/1662649626425.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370138/1662649554263.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370138/1662649638238.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/183370138/1662649781790.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/183370138/1662649764257.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370138/1662649674787.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370138/1662649721697.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370138/1662649748332.jpg,I put it in the shopping bag and burn it,By getting our right place to dump so that we have the right place,No,,We have no space,"Walking,minibus taxi",,No,,,,Neighbour,,Yes,"The fire affected me a lot and it burnt down everything, my house become ash, we came out with my brother with the only clothes we were wearing. everything food, furniture, clothes, everything even the stock for my small tuck-shop has been burnt down. it has burn to ash.",Neighbour,I can try to stop it with water,"Toilet flush,Mobile Phone,Soap,Fire","A bicycle is important to me because I can travel with it to look for job opportunities. like going to Stout factories, I can go without wasting fuel. I can go with it to make a stock of chips, I can go with it to the city, it is important for me the bicycle.","What made me choose a book and a pen is that I have my own chip business. it helps me to know the stock I bought and how much interest I will get, and to write down how much my debtors owe. A book and a pen make me know my business budget","the problem we have here is we do not have proper toilets, like flush toilets, jobs, I even tried to open a business for selling chips. My problem is the job and the money. I need money to feed my little brothers. I would like to continue to study so that my life will be better","The water is important if you are a human being, we drink it, if you are a person it is important to have water in your body. you have to bath with water to go to search for work and wash so that the whites can see that you are clean person. We clean the house with water, wash dishes, wash clothes. that is why I chose water because it is important.","Water,Soap,House,Light Bulb","Water,Mobile Phone,Bike,Fire,Book and Pen",Yes,,,"drinking,cooking,washing",Communal pit latrine,Community tap
634560765f6f6926542f375b,2022-10-11T12:24:22,Yes,zu,183370157,none,"Football would be helpful, and it would help children to be away from using the drugs",There is none,Radio,Mobile phone,No,There is none,There is none,<500,"-29.5601822,30.409275",Father,5.0,Improved a bit,"The thing that made me come here is the part-time job or to find piece job because we do not have in my area where I come from. since there is land and water here, I can make a garden and plant/ grow and eat something. the home affairs is far from home here you are close to home affairs I saw that it is nice to be here",fully owned,,Secondary,2018-01-01,KwaZulu-Natal,,,By piece job/part time job,Unemployed,No,we donated and got support.,"Corrugated iron sheets,Plywood,timber",,There is none,Placing concrete,"The thing that I would like to change here is that we don't get the electricity in the right way, and the taps should be increased to be three or more, and the toilets are very much needed here. I would like to change this as well because we are not safe when the floods come. the rains will come again and get worried when it's raining.","The thing I like about this place is that I don't rent, I am happy because the money we get from work is very little. I take the money I earn from work I sent it to home to the children, and I also buy food here with that little money. The Indians people give us cooked food although sometimes are bothering us. Another thing that brought me here was to look for a job.",,,https://files.ruralsenses.com/kobo-attachments/987582/183370157/1662723568056.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/183370157/1662723491570.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370157/1662723478483.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370157/1662723512536.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/183370157/1662723631906.jpg,,,https://files.ruralsenses.com/kobo-attachments/987582/183370157/1662723549272.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370157/1662723581367.jpg,https://files.ruralsenses.com/kobo-attachments/987582/183370157/1662723598177.jpg,We are burn it or put it in the dug hole.,if the municipality workers come,No,,There is no place,minibus taxi,There are none,Yes,3.0,"January,April,October","The floods damaged my property, my important documents that I use at work were damaged and food was wasted. the water came into the house until I waited for it to stop raining because I tried to take it come and become full so quickly and waited rain to stop and start cleaning the house. I couldn't even walk in the house",Friends,I can call friends,Yes,"the fire burned everything I had inside the house. even the money I had burnt by fire as I prefer to bank money in the house. Now I have one underwear left because I was wearing it on my body. The food was burnt, and I lived on briane from the Indian people.","Family,Neighbour",I can call the neighbors or stop the fire,"House,Fridge,Soap,Fire",the drops we grow help us when we are short of mealie-meal in the house because you can sell what you have grown in the garden and get money to buy what you are need or running short off.  The garden helps you to have something to eat,"chicken is important to me because it gives me meat and I stop eating vegetables. the chicken also gives me eggs and I sell it to earn money. the chicken helps us to wash away bad luck, we use it in the river to remove bad luck. (Use it for ritual things)","the first problem is not having a job, it's hard to find even the piece job/part-time jobs without education and we do not have money and money is what allows you to live well","the toilet is very important because after all we eat and want to relieve ourselves, I can't relieve myself anywhere. I have to go to the toilet to relieve myself. we really need toilets in this area because there are none, so that we do not pollute anywhere or defecate anywhere","Chicken,Fire,Toilet Squat,Light Bulb,Mobile Phone,Vegetables","Water,Vegetables,Mobile Phone,Toilet Squat,Chicken",Yes,,,"drinking,cooking,washing",Communal pit latrine,Community tap
634560765f6f6926542f378c,2022-10-11T12:24:22,Yes,en,181857871,,Soccer to keep the youth away from drugs and other bad things,Soccer,Word of mouth,Word of mouth,No,,,<500,"-29.5602454,30.4097031",Father,3.0,Hasn't changed,The thing that brought me to this place is to look for part-time jobs although it is hard to find a job. this place is close to shopping centers,fully owned,,Secondary,2010-01-01,KwaZulu-Natal,,,Social grant,Unemployed,Yes,,"Corrugated iron sheets,Plywood,plastic",,,,I would like to change the houses we live in; we don't have toilets. I would like the place we have to change and open gardens and plant in it,"living here makes it easy to find job opportunities, it's close to shops and we are getting along well with the community.",,https://files.ruralsenses.com/kobo-attachments/987582/181857871/1662025136360.jpg,,https://files.ruralsenses.com/kobo-attachments/987582/181857871/1662025089795.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181857871/1662025058844.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181857871/1662025038444.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181857871/1662025072847.jpg,https://files.ruralsenses.com/kobo-attachments/987582/181857871/1662025107594.jpg,,,,,https://files.ruralsenses.com/kobo-attachments/987582/181857871/1662025162299.jpg,,Burn it,,No,,No garden,"Walking,minibus taxi",Windy weather conditions,No,,,,Neighbour,Will call NGO,Yes,,Firefighter,We will try and stop the fire while waiting for fire fighters,"Corrugated Iron Sheet,Vegetables,Light Bulb","fire is important because I know how to cook with it as I don't have electricity, it helps me to heat water for the children to bath and go to school. It helps for cooking food.",the road is important because I walk on it when I go to look for part-time jobs and it helps me not to get mud.,"Passing away of parents, suffering here in the shack, unemployment","planting crops are important to me because I don't work, I know that I can plant and find something to eat by growing my own crops.","Water,Road","Corrugated Iron Sheet,Water,Fire,Road,Crops",No,,It is leaking and there's queues,,Communal pit latrine,Community tap
